name,brand,picture,min_price,max_price,dong_url,jia_url,dong_score,jia_score,size,type,engine,gearbox
昂希诺纯电动,现代,,17.28,19.88,,https://www.autohome.com.cn/5111/#pvareaid=6834146,,4.22,小型SUV,,204马力,
北京现代ix25,现代,,10.58,13.68,,https://www.autohome.com.cn/3292/#pvareaid=6834146,,4.61,小型SUV,SUV,1.5L,手动 无级
途胜,现代,,16.18,20.18,,https://www.autohome.com.cn/358/#pvareaid=6834146,,4.55,紧凑型SUV,SUV,1.5T,干式双离合
北京现代ix35,现代,,12.98,15.58,,https://www.autohome.com.cn/1007/#pvareaid=6834146,,4.13,紧凑型SUV,SUV,1.4T 2.0L,自动 干式双离合
胜达,现代,,20.28,27.28,,https://www.autohome.com.cn/2927/#pvareaid=6834146,,4.56,中型SUV,SUV,2.0T,手自一体
帕里斯帝,现代,,29.88,32.98,,https://www.autohome.com.cn/5003/#pvareaid=6834146,,4.56,中大型SUV,SUV,3.5L,手自一体
小鹏汽车P7,小鹏汽车,,22.99,40.99,,https://www.autohome.com.cn/5213/#pvareaid=6834146,,4.44,中型车,,267-430马力,
小鹏汽车G3,小鹏汽车,,14.98,19.98,,https://www.autohome.com.cn/4489/#pvareaid=6834146,,4.50,紧凑型SUV,,197马力,
SITECH DEV 1,新特汽车,,14.79,15.59,,https://www.autohome.com.cn/4781/#pvareaid=6834146,,4.41,微型车,,75马力,
启能GEV 1,新特汽车,,14.79,15.59,,https://www.autohome.com.cn/5750/#pvareaid=6834146,,,微型车,,75马力,
鑫源X30,鑫源,,4.48,4.98,,https://www.autohome.com.cn/6283/#pvareaid=6834146,,,微面,客车 货车,1.5L,手动
鑫源X30L,鑫源,,5.68,6.38,,https://www.autohome.com.cn/4758/#pvareaid=6834146,,4.77,微面,客车 货车,1.5L,手动
鑫卡S50,鑫源,,4.98,4.98,,https://www.autohome.com.cn/6031/#pvareaid=6834146,,,微卡,货车,1.6L,手动
鑫卡S52,鑫源,,5.28,5.28,,https://www.autohome.com.cn/6032/#pvareaid=6834146,,,微卡,货车,1.6L,手动
鑫卡T50 PLUS,鑫源,,5.88,6.58,,https://www.autohome.com.cn/5989/#pvareaid=6834146,,,微卡,货车,2.0L,手动
鑫卡T52 PLUS,鑫源,,6.18,6.68,,https://www.autohome.com.cn/6020/#pvareaid=6834146,,,微卡,货车,2.0L,手动
鑫源T30S,鑫源,,4.98,4.98,,https://www.autohome.com.cn/5108/#pvareaid=6834146,,,微卡,货车,1.5L,手动
鑫源T32S,鑫源,,5.28,5.28,,https://www.autohome.com.cn/5186/#pvareaid=6834146,,,微卡,货车,1.5L,手动
海狮EV,鑫源,,12.68,12.88,,https://www.autohome.com.cn/4567/#pvareaid=6834146,,,微面,,82马力,
好运1号,鑫源,,12.68,12.88,,https://www.autohome.com.cn/4566/#pvareaid=6834146,,,微面,,82马力,
鑫源T50EV,鑫源,,15.28,17.18,,https://www.autohome.com.cn/5525/#pvareaid=6834146,,,微卡,,98马力,
畅巡,雪佛兰,,15.99,17.99,,https://www.autohome.com.cn/5396/#pvareaid=6834146,,4.53,紧凑型车,,150马力,
科鲁泽,雪佛兰,,8.99,12.29,,https://www.autohome.com.cn/5008/#pvareaid=6834146,,4.56,紧凑型车,三厢,1.0T 1.3T 1.5L,湿式双离合 手自一体 手动
科沃兹,雪佛兰,,7.99,9.99,,https://www.autohome.com.cn/4105/#pvareaid=6834146,,4.49,紧凑型车,三厢,1.0T 1.3L,手自一体 手动
